"x","u"
3.12,123.071805
3.13,122.978441
3.14,122.885091
3.15,122.791761
3.16,122.698455
3.17,122.605177
3.18,122.511932
3.19,122.418724
3.2,122.325559
3.21,122.232439
3.22,122.13937
3.23,122.046355
3.24,121.953399
3.25,121.860505
3.26,121.767679
3.27,121.674923
3.28,121.582242
3.29,121.48964
3.3,121.39712
3.31,121.304687
3.32,121.212343
3.33,121.120094
3.34,121.027941
3.35,120.93589
3.36,120.843943
3.37,120.752104
3.38,120.660376
3.39,120.568763
3.4,120.477269
3.41,120.385896
3.42,120.294647
3.43,120.203527
3.44,120.112537
3.45,120.021682
3.46,119.930964
3.47,119.840387
3.48,119.749952
3.49,119.659664
3.5,119.569525
3.51,119.479538
3.52,119.389706
3.53,119.300031
3.54,119.210517
3.55,119.121165
3.56,119.03198
3.57,118.942962
3.58,118.854115
3.59,118.765441
3.6,118.676943
3.61,118.588623
3.62,118.500484
3.63,118.412527
3.64,118.324756
3.65,118.237172
3.66,118.149778
3.67,118.062576
3.68,117.975568
3.69,117.888756
3.7,117.802143
3.71,117.715729
3.72,117.629518
3.73,117.543512
3.74,117.457711
3.75,117.372119
3.76,117.286737
3.77,117.201566
3.78,117.11661
3.79,117.031868
3.8,116.947344
3.81,116.863039
3.82,116.778954
3.83,116.695091
3.84,116.611452
3.85,116.528038
3.86,116.444851
3.87,116.361892
3.88,116.279163
3.89,116.196665
3.9,116.1144
3.91,116.032368
3.92,115.950572
3.93,115.869013
3.94,115.787691
3.95,115.706609
3.96,115.625767
3.97,115.545166
3.98,115.464809
3.99,115.384695
4,115.304826
4.01,115.225203
4.02,115.145827
4.03,115.0667
4.04,114.987821
4.05,114.909192
4.06,114.830815
4.07,114.752689
4.08,114.674817
4.09,114.597198
4.1,114.519833
4.11,114.442724
4.12,114.365871
4.13,114.289275
4.14,114.212937
4.15,114.136856
4.16,114.061035
4.17,113.985474
4.18,113.910173
4.19,113.835133
4.2,113.760355
4.21,113.685838
4.22,113.611585
4.23,113.537594
4.24,113.463868
4.25,113.390405
4.26,113.317208
4.27,113.244275
4.28,113.171608
4.29,113.099207
4.3,113.027073
4.31,112.955205
4.32,112.883604
4.33,112.812271
4.34,112.741205
4.35,112.670407
4.36,112.599878
4.37,112.529617
4.38,112.459624
4.39,112.389901
4.4,112.320447
4.41,112.251262
4.42,112.182346
4.43,112.1137
4.44,112.045324
4.45,111.977218
4.46,111.909381
4.47,111.841814
4.48,111.774518
4.49,111.707491
4.5,111.640735
4.51,111.574249
4.52,111.508032
4.53,111.442086
4.54,111.37641
4.55,111.311004
4.56,111.245867
4.57,111.181001
4.58,111.116404
4.59,111.052077
4.6,110.988019
4.61,110.92423
4.62,110.860711
4.63,110.797461
4.64,110.734479
4.65,110.671766
4.66,110.609322
4.67,110.547146
4.68,110.485238
4.69,110.423597
4.7,110.362224
4.71,110.301118
4.72,110.240279
4.73,110.179707
4.74,110.119401
4.75,110.059361
4.76,109.999587
4.77,109.940078
4.78,109.880834
4.79,109.821855
4.8,109.76314
4.81,109.704688
4.82,109.646501
4.83,109.588576
4.84,109.530914
4.85,109.473515
4.86,109.416377
4.87,109.359501
4.88,109.302886
4.89,109.246531
4.9,109.190436
4.91,109.134601
4.92,109.079025
4.93,109.023708
4.94,108.968648
4.95,108.913847
4.96,108.859302
4.97,108.805014
4.98,108.750982
4.99,108.697206
5,108.643684
5.01,108.590417
5.02,108.537403
5.03,108.484643
5.04,108.432136
5.05,108.379881
5.06,108.327877
5.07,108.276124
5.08,108.224622
5.09,108.173369
5.1,108.122366
5.11,108.071611
5.12,108.021104
5.13,107.970844
5.14,107.92083
5.15,107.871063
5.16,107.821541
5.17,107.772264
5.18,107.723231
5.19,107.674441
5.2,107.625893
5.21,107.577588
5.22,107.529524
5.23,107.481701
5.24,107.434118
5.25,107.386774
5.26,107.339668
5.27,107.292801
5.28,107.24617
5.29,107.199776
5.3,107.153618
5.31,107.107695
5.32,107.062006
5.33,107.016551
5.34,106.971329
