"x","y","u"
0.3,2.5,136.231475
0.3,2.6,135.722767
0.3,2.7,135.169265
0.3,2.8,134.578453
0.3,2.9,133.957217
0.3,3,133.311872
0.3,3.1,132.64818
0.3,3.2,131.971375
0.3,3.3,131.286187
0.3,3.4,130.596872
0.3,3.5,129.907231
0.3,3.6,129.220645
0.3,3.7,128.540093
0.3,3.8,127.868185
0.3,3.9,127.207187
0.3,4,126.559042
0.3,4.1,125.925401
0.3,4.2,125.307644
0.3,4.3,124.706902
0.3,4.4,124.124084
0.3,4.5,123.559893
0.3,4.6,123.014848
0.3,4.7,122.489305
0.3,4.8,121.983471
0.3,4.9,121.497423
0.3,5,121.031125
0.3,5.1,120.584439
0.3,5.2,120.157139
0.3,5.3,119.748926
0.3,5.4,119.359435
0.3,5.5,118.988249
0.3,5.6,118.634906
0.3,5.7,118.298907
0.3,5.8,117.979725
0.3,5.9,117.676812
0.3,6,117.389602
0.3,6.1,117.11752
0.3,6.2,116.859985
0.3,6.3,116.616413
0.3,6.4,116.386222
0.3,6.5,116.168836
0.3,6.6,115.963686
0.3,6.7,115.770212
0.3,6.8,115.587866
0.3,6.9,115.416113
0.3,7,115.254432
0.3,7.1,115.102318
0.3,7.2,114.959283
0.3,7.3,114.824855
0.3,7.4,114.698579
0.3,7.5,114.580016
0.3,7.6,114.468748
0.3,7.7,114.364371
0.3,7.8,114.266502
0.3,7.9,114.174771
0.3,8,114.088828
0.3,8.1,114.008338
0.3,8.2,113.932984
0.3,8.3,113.862462
0.3,8.4,113.796485
0.3,8.5,113.73478
0.3,8.6,113.677091
0.3,8.7,113.623171
0.3,8.8,113.572789
0.3,8.9,113.525727
0.3,9,113.481778
0.3,9.1,113.440748
0.3,9.2,113.402452
0.3,9.3,113.366718
0.3,9.4,113.333381
0.3,9.5,113.302289
0.3,9.6,113.273297
0.3,9.7,113.246268
0.3,9.8,113.221076
0.3,9.9,113.197601
0.3,10,113.175729
0.4,0.5,119.706535
0.4,0.6,122.67799
0.4,0.7,125.338148
0.4,0.8,127.704382
0.4,0.9,129.793795
0.4,1,131.623187
0.4,1.1,133.20902
0.4,1.2,134.567392
0.4,1.3,135.713992
0.4,1.4,136.664075
0.4,1.5,137.432423
0.4,1.6,138.033324
0.4,1.7,138.480538
0.4,1.8,138.78728
0.4,1.9,138.9662
0.4,2,139.029366
0.4,2.1,138.988256
0.4,2.2,138.853749
0.4,2.3,138.63612
0.4,2.4,138.345043
0.4,2.5,137.989592
0.4,2.6,137.578252
0.4,2.7,137.118921
0.4,2.8,136.618931
0.4,2.9,136.085055
0.4,3,135.523529
0.4,3.1,134.940071
0.4,3.2,134.339897
0.4,3.3,133.727747
0.4,3.4,133.107905
0.4,3.5,132.484223
0.4,3.6,131.860146
0.4,3.7,131.238734
0.4,3.8,130.622688
0.4,3.9,130.014372
0.4,4,129.41584
0.4,4.1,128.828855
0.4,4.2,128.254915
0.4,4.3,127.695273
0.4,4.4,127.150957
0.4,4.5,126.622793
0.4,4.6,126.111425
0.4,4.7,125.617325
0.4,4.8,125.140822
0.4,4.9,124.682108
0.4,5,124.241259
0.4,5.1,123.818246
0.4,5.2,123.412951
0.4,5.3,123.025173
0.4,5.4,122.654648
0.4,5.5,122.30105
0.4,5.6,121.964006
0.4,5.7,121.643102
0.4,5.8,121.337891
0.4,5.9,121.0479
0.4,6,120.772637
0.4,6.1,120.511593
0.4,6.2,120.264251
0.4,6.3,120.030087
0.4,6.4,119.808576
0.4,6.5,119.599194
0.4,6.6,119.401421
0.4,6.7,119.214743
0.4,6.8,119.038656
0.4,6.9,118.872665
0.4,7,118.716287
0.4,7.1,118.569051
0.4,7.2,118.430502
0.4,7.3,118.300197
0.4,7.4,118.177709
0.4,7.5,118.062628
0.4,7.6,117.954556
0.4,7.7,117.853115
0.4,7.8,117.757939
0.4,7.9,117.668679
0.4,8,117.585004
0.4,8.1,117.506593
0.4,8.2,117.433145
0.4,8.3,117.36437
0.4,8.4,117.299994
0.4,8.5,117.239756
0.4,8.6,117.18341
0.4,8.7,117.13072
0.4,8.8,117.081464
0.4,8.9,117.035433
0.4,9,116.992427
0.4,9.1,116.95226
0.4,9.2,116.914753
0.4,9.3,116.87974
0.4,9.4,116.847063
0.4,9.5,116.816574
0.4,9.6,116.788132
0.4,9.7,116.761607
0.4,9.8,116.736875
0.4,9.9,116.713819
0.4,10,116.69233
0.5,0.6,122.498742
0.5,0.7,125.189668
0.5,0.8,127.599309
0.5,0.9,129.743239
0.5,1,131.636819
0.5,1.1,133.295167
0.5,1.2,134.733117
0.5,1.3,135.965184
0.5,1.4,137.005532
0.5,1.5,137.867936
0.5,1.6,138.565755
0.5,1.7,139.111906
0.5,1.8,139.518831
0.5,1.9,139.798485
0.5,2,139.962314
0.5,2.1,140.021238
