"x","u"
3.12,122.911318
3.13,122.818387
3.14,122.725558
3.15,122.632641
3.16,122.540307
3.17,122.448186
3.18,122.354411
3.19,122.262586
3.2,122.168958
3.21,122.076741
3.22,121.984191
3.23,121.892479
3.24,121.799648
3.25,121.70728
3.26,121.61578
3.27,121.523137
3.28,121.430766
3.29,121.337932
3.3,121.246392
3.31,121.154386
3.32,121.063453
3.33,120.9705
3.34,120.880018
3.35,120.788008
3.36,120.697063
3.37,120.604186
3.38,120.514045
3.39,120.422799
3.4,120.332823
3.41,120.2409
3.42,120.150996
3.43,120.059516
3.44,119.971702
3.45,119.878783
3.46,119.78828
3.47,119.699829
3.48,119.608981
3.49,119.519932
3.5,119.430231
3.51,119.34115
3.52,119.252255
3.53,119.162071
3.54,119.073244
3.55,118.985948
3.56,118.896283
3.57,118.807007
3.58,118.718911
3.59,118.630567
3.6,118.542536
3.61,118.455596
3.62,118.36777
3.63,118.279679
3.64,118.192561
3.65,118.105403
3.66,118.019599
3.67,117.933743
3.68,117.847053
3.69,117.759758
3.7,117.673093
3.71,117.589453
3.72,117.501871
3.73,117.418117
3.74,117.333598
3.75,117.246274
3.76,117.161924
3.77,117.077594
3.78,116.994491
3.79,116.907855
3.8,116.824674
3.81,116.742751
3.82,116.656934
3.83,116.574494
3.84,116.491672
3.85,116.409167
3.86,116.324888
3.87,116.242704
3.88,116.161832
3.89,116.078714
3.9,115.998874
3.91,115.915843
3.92,115.835107
3.93,115.753195
3.94,115.673228
3.95,115.59405
3.96,115.512348
3.97,115.431727
3.98,115.352621
3.99,115.272634
4,115.193411
4.01,115.11475
4.02,115.035668
4.03,114.956576
4.04,114.879369
4.05,114.800883
4.06,114.722446
4.07,114.645925
4.08,114.568056
4.09,114.49112
4.1,114.413817
4.11,114.337959
4.12,114.262205
4.13,114.185032
4.14,114.108393
4.15,114.034507
4.16,113.959145
4.17,113.883305
4.18,113.809678
4.19,113.734815
4.2,113.660223
4.21,113.58586
4.22,113.513395
4.23,113.438559
4.24,113.366923
4.25,113.293558
4.26,113.220663
4.27,113.146918
4.28,113.075808
4.29,113.003545
4.3,112.931677
4.31,112.860159
4.32,112.790176
4.33,112.719509
4.34,112.647709
4.35,112.577638
4.36,112.508826
4.37,112.437458
4.38,112.36931
4.39,112.299148
4.4,112.230577
4.41,112.162668
4.42,112.09399
4.43,112.02609
4.44,111.957273
4.45,111.889582
4.46,111.823423
4.47,111.756115
4.48,111.689254
4.49,111.622269
4.5,111.556715
4.51,111.491139
4.52,111.423742
4.53,111.358379
4.54,111.293689
4.55,111.228716
4.56,111.163114
4.57,111.100625
4.58,111.036513
4.59,110.972409
4.6,110.907838
4.61,110.845674
4.62,110.782301
4.63,110.718118
4.64,110.656632
4.65,110.59536
4.66,110.532774
4.67,110.471739
4.68,110.409779
4.69,110.347834
4.7,110.287496
4.71,110.226549
4.72,110.165686
4.73,110.106796
4.74,110.047694
4.75,109.986965
4.76,109.927389
4.77,109.868441
4.78,109.810221
4.79,109.751259
4.8,109.693172
4.81,109.634988
4.82,109.578007
4.83,109.519693
4.84,109.461952
4.85,109.405025
4.86,109.347679
4.87,109.290954
4.88,109.235699
4.89,109.179617
4.9,109.124564
4.91,109.069947
4.92,109.014373
4.93,108.958224
4.94,108.903011
4.95,108.850398
4.96,108.796331
