"x","y","u","type"
0.1,7.3,111.27868228243,"GP"
0.1,7.4,111.196481513734,"GP"
0.1,7.5,111.140267488352,"GP"
0.1,7.6,111.103520393132,"GP"
0.1,7.7,111.079877364399,"GP"
0.1,7.8,111.063401816451,"GP"
0.1,7.9,111.048823884082,"GP"
0.1,8,111.031742088431,"GP"
0.1,8.1,111.008778590181,"GP"
0.1,8.2,110.977682922513,"GP"
0.1,8.3,110.937381751439,"GP"
0.1,8.4,110.887974847743,"GP"
0.1,8.5,110.830679937839,"GP"
0.1,8.6,110.767731312049,"GP"
0.1,8.7,110.70223891303,"GP"
0.1,8.8,110.638016035115,"GP"
0.1,8.9,110.579384696686,"GP"
0.1,9,110.530968189936,"GP"
0.1,9.1,110.497480279846,"GP"
0.1,9.2,110.483520054622,"GP"
0.1,9.3,110.493380580874,"GP"
0.1,9.4,110.530878359828,"GP"
0.1,9.5,110.599209197471,"GP"
0.1,9.6,110.700834576644,"GP"
0.1,9.7,110.837401037219,"GP"
0.1,9.8,111.009693510778,"GP"
0.1,9.9,111.217622088911,"GP"
0.1,10,111.460240388332,"GP"
0.2,0.3,131.069265072851,"GP"
0.2,0.4,131.110505341539,"GP"
0.2,0.5,131.188842947909,"GP"
0.2,0.6,131.302417359513,"GP"
0.2,0.7,131.448522977943,"GP"
0.2,0.8,131.623628886721,"GP"
0.2,0.9,131.823423616254,"GP"
0.2,1,132.042885020161,"GP"
0.2,1.1,132.276374493828,"GP"
0.2,1.2,132.517753878628,"GP"
0.2,1.3,132.760522514716,"GP"
0.2,1.4,132.997971063228,"GP"
0.2,1.5,133.223347946615,"GP"
0.2,1.6,133.430033584489,"GP"
0.2,1.7,133.611717060646,"GP"
0.2,1.8,133.762569471243,"GP"
0.2,1.9,133.877407997823,"GP"
0.2,2,133.951844740947,"GP"
0.2,2.1,133.98241455538,"GP"
0.2,2.2,133.966676554777,"GP"
0.2,2.3,133.903284605045,"GP"
0.2,2.4,133.792022996119,"GP"
0.2,2.5,133.633804558222,"GP"
0.2,2.6,133.430629748352,"GP"
0.2,2.7,133.185506643236,"GP"
0.2,2.8,132.902333293866,"GP"
0.2,2.9,132.585745471536,"GP"
0.2,3,132.240934404587,"GP"
0.2,3.1,131.873440599875,"GP"
0.2,3.2,131.488931189355,"GP"
0.2,3.3,131.092969364132,"GP"
0.2,3.4,130.690785282177,"GP"
0.2,3.5,130.287058294232,"GP"
0.2,3.6,129.885720369596,"GP"
0.2,3.7,129.489790179711,"GP"
0.2,3.8,129.101246394104,"GP"
0.2,3.9,128.720947365834,"GP"
0.2,4,128.348602564793,"GP"
0.2,4.1,127.982798917682,"GP"
0.2,4.2,127.621082721076,"GP"
0.2,4.3,127.260095121009,"GP"
0.2,4.4,126.895756431067,"GP"
0.2,4.5,126.523491936139,"GP"
0.2,4.6,126.138489451159,"GP"
0.2,4.7,125.73597691934,"GP"
0.2,4.8,125.311506874972,"GP"
0.2,4.9,124.861233771126,"GP"
0.2,5,124.382170059831,"GP"
0.2,5.1,123.872407550647,"GP"
0.2,5.2,123.331291958491,"GP"
0.2,5.3,122.759540633685,"GP"
0.2,5.4,122.159296152894,"GP"
0.2,5.5,121.534111605038,"GP"
0.2,5.6,120.888866865251,"GP"
0.2,5.7,120.229618722112,"GP"
0.2,5.8,119.563391207337,"GP"
0.2,5.9,118.897915671658,"GP"
0.2,6,118.241332868413,"GP"
0.2,6.1,117.601871386132,"GP"
0.2,6.2,116.987518088267,"GP"
0.2,6.3,116.405696692319,"GP"
0.2,6.4,115.862970222575,"GP"
0.2,6.5,115.364781823281,"GP"
0.2,6.6,114.915246396192,"GP"
0.2,6.7,114.517002847694,"GP"
0.2,6.8,114.171133554053,"GP"
0.2,6.9,113.877154164107,"GP"
0.2,7,113.633073258088,"GP"
0.2,7.1,113.435517872936,"GP"
0.2,7.2,113.279917682419,"GP"
0.2,7.3,113.160737856196,"GP"
0.2,7.4,113.071748456193,"GP"
0.2,7.5,113.006316761683,"GP"
0.2,7.6,112.957708202893,"GP"
0.2,7.7,112.91938163748,"GP"
0.2,7.8,112.885265490888,"GP"
0.2,7.9,112.850002725977,"GP"
0.2,8,112.809154601385,"GP"
0.2,8.1,112.759355587725,"GP"
0.2,8.2,112.698414486136,"GP"
0.2,8.3,112.62535957853,"GP"
0.2,8.4,112.540428380109,"GP"
0.2,8.5,112.445005121899,"GP"
0.2,8.6,112.341511342482,"GP"
0.2,8.7,112.23325681828,"GP"
0.2,8.8,112.12425944292,"GP"
0.2,8.9,112.019043541914,"GP"
0.2,9,111.922426472193,"GP"
0.2,9.1,111.839303227932,"GP"
0.2,9.2,111.774438200067,"GP"
0.2,9.3,111.732272281634,"GP"
0.2,9.4,111.716752253527,"GP"
0.2,9.5,111.731187912816,"GP"
0.2,9.6,111.778140808518,"GP"
0.2,9.7,111.859346815379,"GP"
0.2,9.8,111.975673185961,"GP"
0.2,9.9,112.127109245383,"GP"
0.2,10,112.312788589264,"GP"
0.3,0.4,132.462038968853,"GP"
0.3,0.5,132.52691348993,"GP"
0.3,0.6,132.630439339505,"GP"
0.3,0.7,132.769882189045,"GP"
0.3,0.8,132.941622427473,"GP"
0.3,0.9,133.141200461173,"GP"
0.3,1,133.363388877654,"GP"
0.3,1.1,133.602290718087,"GP"
0.3,1.2,133.851462156421,"GP"
0.3,1.3,134.104056940412,"GP"
0.3,1.4,134.352989046671,"GP"
0.3,1.5,134.591109171196,"GP"
0.3,1.6,134.811389951981,"GP"
0.3,1.7,135.007114231964,"GP"
0.3,1.8,135.172060247443,"GP"
0.3,1.9,135.300677394046,"GP"
0.3,2,135.388246200318,"GP"
0.3,2.1,135.431016343763,"GP"
0.3,2.2,135.426316985618,"GP"
0.3,2.3,135.372634381765,"GP"
0.3,2.4,135.269652643041,"GP"
0.3,2.5,135.118254655015,"GP"
0.3,2.6,134.920481501273,"GP"
0.3,2.7,134.679450231397,"GP"
0.3,2.8,134.39923142992,"GP"
0.3,2.9,134.084689720149,"GP"
0.3,3,133.741292011329,"GP"
0.3,3.1,133.374889895871,"GP"
0.3,3.2,132.991484046205,"GP"
0.3,3.3,132.596979667236,"GP"
0.3,3.4,132.19694295138,"GP"
0.3,3.5,131.796368986619,"GP"
0.3,3.6,131.399471624086,"GP"
0.3,3.7,131.009505377489,"GP"
0.3,3.8,130.628628481922,"GP"
0.3,3.9,130.257814789434,"GP"
0.3,4,129.896820257871,"GP"
0.3,4.1,129.54420746182,"GP"
0.3,4.2,129.197428913675,"GP"
0.3,4.3,128.852967148128,"GP"
0.3,4.4,128.50652663551,"GP"
0.3,4.5,128.153269802953,"GP"
0.3,4.6,127.788086917327,"GP"
0.3,4.7,127.405887475976,"GP"
0.3,4.8,127.001899201353,"GP"
0.3,4.9,126.571959859647,"GP"
0.3,5,126.112787003916,"GP"
0.3,5.1,125.622211419621,"GP"
0.3,5.2,125.09936151994,"GP"
0.3,5.3,124.544788146087,"GP"
0.3,5.4,123.960522073756,"GP"
0.3,5.5,123.350059867775,"GP"
0.3,5.6,122.71827738502,"GP"
0.3,5.7,122.071273998483,"GP"
0.3,5.8,121.416154287971,"GP"
0.3,5.9,120.760757302319,"GP"
0.3,6,120.113346345489,"GP"
0.3,6.1,119.482274404849,"GP"
0.3,6.2,118.875641693213,"GP"
0.3,6.3,118.300962235144,"GP"
0.3,6.4,117.764855963655,"GP"
0.3,6.5,117.272781433782,"GP"
0.3,6.6,116.82882208583,"GP"
0.3,6.7,116.435536133666,"GP"
0.3,6.8,116.093876782393,"GP"
0.3,6.9,115.80318579365,"GP"
0.3,7,115.561259630077,"GP"
0.3,7.1,115.364483739175,"GP"
0.3,7.2,115.208027184988,"GP"
0.3,7.3,115.086086983752,"GP"
0.3,7.4,114.99216929155,"GP"
0.3,7.5,114.919393130438,"GP"
0.3,7.6,114.860801678947,"GP"
0.3,7.7,114.809666299,"GP"
0.3,7.8,114.759769382404,"GP"
0.3,7.9,114.705653692294,"GP"
0.3,8,114.642828028858,"GP"
0.3,8.1,114.56792161937,"GP"
0.3,8.2,114.478782458808,"GP"
0.3,8.3,114.374517743481,"GP"
0.3,8.4,114.255477385069,"GP"
0.3,8.5,114.12318422019,"GP"
0.3,8.6,113.980216816632,"GP"
0.3,8.7,113.830052625755,"GP"
0.3,8.8,113.676880575766,"GP"
0.3,8.9,113.525393010774,"GP"
0.3,9,113.380567154709,"GP"
0.3,9.1,113.247446046276,"GP"
0.3,9.2,113.130928204164,"GP"
0.3,9.3,113.035574213877,"GP"
0.3,9.4,112.965437065102,"GP"
0.3,9.5,112.923921505351,"GP"
0.3,9.6,112.913676006734,"GP"
0.3,9.7,112.936519259522,"GP"
0.3,9.8,112.993401490834,"GP"
0.3,9.9,113.084399430049,"GP"
0.3,10,113.208742459957,"GP"
0.4,0.5,133.739181355078,"GP"
0.4,0.6,133.832325006295,"GP"
0.4,0.7,133.964868527509,"GP"
0.4,0.8,134.133110582103,"GP"
0.4,0.9,134.332449619088,"GP"
0.4,1,134.55745832031,"GP"
0.4,1.1,134.801985960325,"GP"
0.4,1.2,135.059286929929,"GP"
0.4,1.3,135.322172668333,"GP"
0.4,1.4,135.58318328249,"GP"
0.4,1.5,135.834774241183,"GP"
0.4,1.6,136.069512751242,"GP"
0.4,1.7,136.280277787062,"GP"
0.4,1.8,136.460457282848,"GP"
0.4,1.9,136.604135736785,"GP"
0.4,2,136.706265440088,"GP"
0.4,2.1,136.762814748808,"GP"
0.4,2.2,136.770887273361,"GP"
0.4,2.3,136.728806573399,"GP"
0.4,2.4,136.636161909203,"GP"
0.4,2.5,136.493811800761,"GP"
0.4,2.6,136.303843557307,"GP"
0.4,2.7,136.069488527254,"GP"
0.4,2.8,135.794994533562,"GP"
0.4,2.9,135.48545874352,"GP"
0.4,3,135.146626005302,"GP"
0.4,3.1,134.784659388314,"GP"
0.4,3.2,134.4058912061,"GP"
0.4,3.3,134.01656409312,"GP"
0.4,3.4,133.622572665539,"GP"
0.4,3.5,133.22921684445,"GP"
0.4,3.6,132.84097799335,"GP"
0.4,3.7,132.461328574501,"GP"
0.4,3.8,132.092585038587,"GP"
0.4,3.9,131.735812134486,"GP"
0.4,4,131.390784797034,"GP"
0.4,4.1,131.056011308628,"GP"
0.4,4.2,130.728818634386,"GP"
0.4,4.3,130.40549782748,"GP"
0.4,4.4,130.081504340589,"GP"
0.4,4.5,129.751705125759,"GP"
0.4,4.6,129.410661728393,"GP"
0.4,4.7,129.052936347134,"GP"
0.4,4.8,128.673406189733,"GP"
0.4,4.9,128.26757052869,"GP"
0.4,5,127.831834736521,"GP"
0.4,5.1,127.363756301812,"GP"
0.4,5.2,126.862239387479,"GP"
0.4,5.3,126.327666834028,"GP"
0.4,5.4,125.761961525556,"GP"
